"Participant","Experiment_StartDate","Experiment_Duration","Mobile","Gender","Age","SexualOrientation","Ethnicity","DemandCharcateristics_Condition","Fiction_Expectations","Feedback_BigDifferenceRealAI","Feedback_SmallDifferenceRealAI","Feedback_NoDifferenceRealAI","Feedback_LabelsNotCorrect","Feedback_LabelsReversed","Feedback_LabelsAllPhotos","Feedback_LabelsAllAI","Feedback_ConfidenceReal","Feedback_ConfidenceFake","Experiment_Enjoyment","Experiment_Quality","Experiment_Unusual","Experiment_PerceptionChange","Experiment_Feedback","BAIT_AI_Knowledge","BAIT_AI_Use","BAIT_5_ImitatingReality","BAIT_3_VideosIssues","BAIT_12_Benefit","BAIT_9_Dangerous","BAIT_11_Exciting","BAIT_2_ImagesIssues","BAIT_13_ArtIssues","BAIT_10_Worry","BAIT_6_EnvironmentReal","BAIT_8_TextIssues","BAIT_14_ArtRealistic","BAIT_AttentionCheck","BAIT_7_TextRealistic","BAIT_1_ImagesRealistic","BAIT_4_VideosRealistic","BAIT_2_ImagesIssues_rev","BAIT_3_VideosIssues_rev","BAIT_8_TextIssues_rev","BAIT_13_ArtIssues_rev","BAIT_9_Dangerous_rev","BAIT_10_Worry_rev","BAIT_Images","BAIT_Videos","BAIT_Text","BAIT_Art","BAIT_Attitude","BAIT_Reality","BAIT_total","MIST_fake_general_4","MIST_real_general_3","MIST_real_general_4","MIST_real_general_2","MIST_real_general_1","MIST_fake_general_2","MIST_fake_general_1","MIST_fake_general_3","MIST_totalcorrect","BRS_5","BRS_1","BRS_20","BRS_10","BRS_7","BRS_8","BRS_3","BRS_2","BRS_18","BRS_19","BRS_15","BRS_14","BRS_13","BRS_Attention","BRS_12","BRS_4","BRS_17","BRS_11","BRS_6","BRS_9","BRS_16","BRS_Total","Questionnaires_AttentionCheck","Task_AttentionCheck"
"S097","2025-09-30 16:15:30",17.7954,"false","Man",19,"Heterosexual","White","Self Expectations","I have no expectations",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,3,"A few times per week",2,3,3,3,4,3,6,2,2,3,0,1,3,5,5,3,3,3,0,3,4,4,4,3,0,3.5,2,2.75,37,64,-56,-37,-81,28,39,100,1,1,1,1,1,1,4,1,1,5,5,5,1,3,1,3,1,1,3,1,1,2,2.1,1,0.555555555555556
"S272","2025-10-03 11:10:56",38.2869666666667,"false","Woman",19,"Heterosexual","White","Less attractive","I have no expectations",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,"A few times per month",4,3,2,4,4,0,2,5,5,4,1,1,3,6,6,6,3,2,4,2,1,6,4.5,2.5,2.5,2.25,4.5,3.70833333333333,-89,57,0,14,0,-100,0,-93,6,1,4,1,1,3,1,3,1,1,1,1,4,5,1,4,1,3,1,5,1,1,2.15,1,0.888888888888889
"S290","2025-10-03 11:18:58",24.2455166666667,"false","Woman",19,"Homosexual","White","Self Expectations","I expect to find AI-generated faces more attractive",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per week",6,4,2,5,5,2,6,6,4,4,6,1,4,6,5,4,2,2,0,1,0,5,3.5,3,3,2,5,3.58333333333333,-11,10,96,-12,8,-84,64,-94,6,2,4,2,3,3,2,3,2,3,4,2,5,1,1,5,3,3,4,4,1,5,3.05,1,0.888888888888889
"S072","2025-09-30 16:10:58",21.47755,"true","Woman",20,"Heterosexual","White","Self Expectations","I have no expectations",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,4,2,NA,NA,NA,NA,2,"A few times per week",1,4,3,3,4,5,6,3,3,6,5,1,0,2,2,1,2,0,0,3,3,1.5,2,0,2.5,3.25,2,1.875,-29,0,-36,-45,-2,-14,5,-30,3,1,3,3,3,1,3,1,1,3,3,1,3,1,1,3,2,3,2,2,1,3,2.15,1,0.888888888888889
"S147","2025-10-01 11:19:15",28.0416666666667,"false","Man",22,"Heterosexual","White","More attractive","I have no expectations",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,2,"A few times per week",1,5,3,5,3,5,6,5,5,5,1,1,3,4,5,1,1,1,0,1,1,2.5,3,2,0.5,2,3,2.16666666666667,-100,51,26,28,-22,-33,-100,-57,7,4,4,5,4,4,4,3,2,4,5,5,5,5,1,5,2,1,2,5,5,4,3.9,1,1
"S094","2025-09-30 16:15:15",27.3704166666667,"false","Non-binary",21,"Bisexual","White","More attractive","I have no expectations",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"Never",2,6,1,5,1,3,6,6,2,5,0,1,1,4,2,3,0,1,0,1,0,3.5,1,1,0,0.75,2,1.375,-84,81,86,69,-40,-50,40,-78,6,2,1,4,4,2,2,2,2,4,3,4,3,3,1,4,2,2,3,1,2,2,2.6,1,1
"S071","2025-09-30 16:10:50",26.28495,"false","Woman",22,"Homosexual","White","Less attractive","I expect to find AI-generated faces less attractive",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,"I found it a bit hard to rate attractiveness and beauty of the people shown since I felt bad for them if I found them ugly/unattractive ",3,"Never",4,1,0,6,1,4,6,6,1,3,0,1,5,5,1,2,5,3,0,0,0,3.5,3,4,0,0.25,2.5,2.20833333333333,-22,58,52,-94,-41,-64,23,40,4,1,2,5,1,1,2,3,4,4,4,5,5,4,1,4,2,4,3,1,1,1,2.85,1,1
"S091","2025-09-30 16:15:06",16.8427,"false","Woman",20,"Bisexual","White","Control",NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,2,"A few times per month",3,5,3,4,3,4,4,5,5,5,5,1,2,5,4,2,1,1,2,2,1,3.5,2.5,1.5,3.5,2.25,4,2.875,-30,20,46,-3,-27,-100,18,-39,5,5,4,3,2,4,5,5,3,1,3,3,2,4,1,1,3,1,1,5,5,3,3.15,1,0.555555555555556
"S066","2025-09-30 09:28:13",34.4909666666667,"false","Woman",44,"Heterosexual","White","Control",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,"With the identification of faces as being either AI or real, there's no way to capture the response of ""this could easily be either!"". I feel that AI has got to a point of being able to generate very real faces - so much so that unless you scrutinise an image and find a seemingly obvious 'error', it's virtually impossible to tell. Therefore my responses followed a pattern where the more unusual a face appeared to be, the more I would tend to select AI generated, because there is no option to leave the slider right in the middle for 'totally unsure'. But I'm not sure that is really the point of the experiment! ",3,"A few times per month",2,3,2,5,3,2,2,5,3,4,3,0,2,6,3,4,3,2,4,1,1,5,3,2,3.5,1.75,2.5,2.95833333333333,-100,100,85,100,86,34,1,-100,6,1,1,3,1,1,1,1,1,1,2,3,1,3,1,1,1,1,1,1,1,2,1.4,0.5,0.555555555555556
"S161","2025-10-01 11:20:01",20.12205,"false","Woman",19,"Bisexual","White","More attractive","I have no expectations",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per month",1,3,0,6,2,2,6,6,5,5,0,1,3,4,4,4,3,1,0,0,0,4,3.5,2,0,0.5,3,2.16666666666667,-65,13,34,-18,27,-56,-43,-54,7,3,2,5,4,2,2,2,1,4,3,5,4,3,1,4,2,4,3,2,1,4,3,1,0.666666666666667
"S179","2025-10-01 11:23:10",31.0477666666667,"true","Woman",19,"Heterosexual","White","Less attractive","I expect to find AI-generated faces less attractive",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,4,"A few times per day",2,4,2,5,4,3,6,6,5,5,0,1,2,5,4,3,2,1,0,1,0,4,3,1.5,0,1.75,3.5,2.29166666666667,49,23,53,-12,-21,-31,86,76,3,2,5,5,4,5,5,3,2,3,5,4,5,5,1,4,3,3,5,5,1,5,3.95,1,0.555555555555556
"S211","2025-10-02 09:21:47",25.25725,"false","Woman",21,"Bisexual","White","More attractive","I have no expectations",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per month",2,4,3,6,4,4,5,6,4,4,6,1,3,5,6,2,2,2,1,0,0,3.5,4,2.5,3.5,1.75,3,3.04166666666667,8,100,48,-66,-75,15,79,19,2,3,1,4,1,3,2,2,2,4,4,4,3,4,1,4,3,3,4,2,1,4,2.9,1,0.777777777777778
"S276","2025-10-03 11:17:29",26.67445,"false","Non-binary",20,"Queer","Mixed","Control",NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,"It would be really nice if this went towards our sona credits!",2,"A few times per month",0,4,0,6,1,4,5,6,2,4,0,1,4,3,3,2,2,2,1,0,0,2.5,2.5,3,0.5,0.25,1,1.625,-47,31,22,-36,32,5,10,-54,5,1,2,5,1,2,2,1,2,3,4,3,4,4,1,1,3,3,2,1,2,2,2.4,1,1
"S023","2025-09-29 13:20:23",18.564,"false","Woman",20,"Bisexual","White","Less attractive","I expect to find AI-generated faces more attractive",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4,NA,3,NA,NA,NA,NA,3,"Never",3,3,2,3,1,3,5,5,3,3,1,1,3,3,3,3,3,3,1,3,1,3,3,3,1,1.75,3,2.45833333333333,-95,27,95,-94,30,-87,-95,-96,7,2,3,3,5,2,3,2,2,5,4,5,2,4,1,4,4,2,2,2,2,4,3.1,1,1
"S010","2025-09-29 13:19:11",19.53465,"false","Woman",19,"Bisexual","White","Control",NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,5,"Never",6,4,0,6,5,0,6,6,0,6,6,1,0,5,6,6,2,0,0,0,0,5.5,4,0,3,1.25,3,2.79166666666667,-90,95,96,45,-89,-76,91,-94,6,5,2,5,2,5,1,4,1,3,4,2,4,2,1,1,1,1,4,1,2,4,2.7,1,1
"S255","2025-10-02 14:18:44",25.8400833333333,"false","Woman",19,"Heterosexual","White","More attractive","I expect to find AI-generated faces more attractive",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,1,NA,NA,NA,NA,3,"A few times per week",1,6,4,1,4,5,6,2,3,4,4,1,2,2,2,1,0,2,0,5,4,1.5,1,2,2,4.25,2,2.125,-70,0,0,0,-50,-73,-36,0,4,3,2,3,4,3,3,2,3,3,3,5,5,5,1,3,2,3,4,3,2,4,3.25,1,0.444444444444444
"S221","2025-10-02 09:29:27",28.7073666666667,"false","Woman",19,"Homosexual","Mixed","More attractive","I have no expectations",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,4,"A few times per month",3,6,4,6,5,4,4,6,6,4,5,1,4,6,6,2,0,2,2,0,0,4,3,3,3.5,2.25,4.5,3.375,-35,27,36,-42,-39,40,24,24,3,4,3,3,2,2,4,5,2,3,4,4,2,2,0,3,4,2,3,3,3,4,3.1,0.5,0.666666666666667
"S322","2025-10-03 14:17:52",26.2720166666667,"false","Woman",19,"Bisexual","White","Less attractive","I have no expectations",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,3,"A few times per month",2,5,3,6,3,3,5,4,1,2,1,0,3,3,1,3,1,4,1,0,2,3,1,3.5,1,2,1.5,2,23,-34,100,36,-58,-34,67,33,3,2,1,4,3,3,4,3,3,3,5,5,4,3,1,2,2,2,2,3,2,3,2.95,0.5,0.555555555555556
"S152","2025-10-01 11:19:34",25.4647333333333,"false","Man",19,"Heterosexual","White","Self Expectations","I expect to find AI-generated faces less attractive",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,4,"Never",3,6,0,6,0,6,6,6,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,-100,-10,100,100,20,-50,100,-100,6,3,5,5,3,5,2,3,2,5,5,1,5,5,1,5,1,2,4,4,3,5,3.65,1,0.444444444444444
"S125","2025-09-30 18:18:37",23.4040166666667,"false","Woman",19,"Heterosexual","White","More attractive","I expect to find AI-generated faces less attractive",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,1,3,NA,NA,NA,NA,2,"Never",2,2,3,6,2,3,6,5,1,5,0,1,1,4,4,3,4,1,0,0,1,3.5,4,1,0,1.5,1.5,1.91666666666667,-48,-15,62,86,-30,51,80,38,3,2,4,1,2,1,3,3,2,5,5,4,5,3,1,4,3,3,4,2,1,2,2.95,1,0.888888888888889
"S185","2025-10-02 09:10:04",29.53025,"false","Woman",19,"Heterosexual","White","Self Expectations","I have no expectations",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,"A few times per week",4,3,2,5,3,2,5,5,5,3,6,1,5,5,5,4,3,3,1,1,1,4.5,4,4,3.5,1.75,4.5,3.70833333333333,-66,35,-68,-43,9,-54,-51,45,5,3,3,1,2,4,3,3,3,4,4,3,5,5,1,4,3,2,4,1,1,2,3,1,0.555555555555556
"S207","2025-10-02 09:20:55",21.9337166666667,"false","Man",20,"Heterosexual","White","Self Expectations","I have no expectations",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per month",3,3,4,5,4,2,6,5,4,2,1,1,4,5,5,4,3,4,0,1,1,4.5,4,4,0.5,2.5,3.5,3.16666666666667,-41,50,43,38,-62,13,-22,-22,6,4,3,4,3,4,4,3,5,5,4,2,4,1,1,2,4,2,2,4,2,4,3.3,1,0.888888888888889
"S025","2025-09-29 13:20:31",22.2325833333333,"false","Woman",19,"Bisexual","White","Self Expectations","I expect to find AI-generated faces more attractive",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per week",6,2,1,5,2,2,6,6,3,4,6,1,3,4,4,4,4,2,0,1,0,4,4,2.5,3,1,4.5,3.16666666666667,-25,28,86,39,0,-10,84,-31,6,4,3,4,2,3,5,2,2,3,5,5,4,2,1,2,5,2,2,3,5,4,3.35,1,0.555555555555556
"S145","2025-10-01 11:19:14",18.6649666666667,"false","Woman",20,"Bisexual","White","More attractive","I expect to find AI-generated faces similarly attractive",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,2,"A few times per month",2,5,3,6,3,4,6,5,4,5,6,1,2,3,3,2,1,1,0,0,1,2.5,2,1.5,3,1.75,3,2.29166666666667,-15,29,19,89,71,-40,76,-89,7,2,5,5,3,2,4,3,3,4,4,4,5,5,1,5,2,2,4,4,2,4,3.6,1,0.777777777777778
"S219","2025-10-02 09:24:32",29.3876333333333,"false","Woman",19,"Heterosexual","White","Less attractive","I have no expectations",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,2,"A few times per month",5,6,3,6,4,2,6,6,4,4,2,1,3,4,2,4,0,2,0,0,0,4,1,2.5,1,1.75,4.5,2.45833333333333,-75,52,-96,-56,-97,98,81,26,2,2,4,2,2,2,5,3,4,4,4,2,5,5,1,3,2,2,4,3,1,4,3.15,1,0.666666666666667
"S079","2025-09-30 16:14:42",23.76525,"false","Woman",20,"Heterosexual","Prefer not to say","Control",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,4,"A few times per day",4,4,3,4,2,5,5,5,3,6,5,1,2,4,4,1,2,0,1,2,1,2.5,3,1,3,2,3.5,2.5,-88,-32,97,-95,89,-97,-93,-67,6,2,1,3,4,2,4,4,3,1,5,4,5,3,1,5,3,4,3,1,1,3,3.05,1,1
"S068","2025-09-30 13:54:17",18.8000666666667,"false","Non-binary",19,"Bisexual","White","Self Expectations","I expect to find AI-generated faces less attractive",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,NA,4,NA,NA,NA,"no",2,"A few times per month",4,2,2,6,4,4,6,6,5,4,2,1,6,6,6,2,4,2,0,0,0,4,5,4,1,1.5,4.5,3.33333333333333,-61,100,100,100,-25,5,89,-49,5,4,1,3,3,1,4,1,3,2,4,4,4,4,1,2,3,4,3,2,1,3,2.8,1,0.666666666666667
"S055","2025-09-30 09:23:32",30.0033166666667,"false","Non-binary",19,"Bisexual","White","Less attractive","I expect to find AI-generated faces less attractive",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,3,"Never",6,6,3,5,2,5,6,5,4,5,0,1,1,5,3,1,0,1,0,1,1,3,1.5,1,0,1.75,5,2.04166666666667,-68,77,58,18,-76,-45,-18,-53,7,2,2,5,2,1,4,2,2,3,2,4,2,5,1,4,2,4,4,1,1,4,2.8,1,1
"S061","2025-09-30 09:24:56",20.1235833333333,"true","Woman",19,"Heterosexual","Black","Control",NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,5,NA,NA,NA,NA,NA,NA,3,"A few times per week",4,4,2,6,5,4,6,6,4,3,0,0,3,3,3,2,2,3,0,0,0,2.5,2.5,3,0,1.75,4,2.29166666666667,25,-39,-31,25,-34,-37,29,21,2,2,5,5,3,5,4,5,3,5,5,3,5,5,1,5,4,5,5,5,3,5,4.35,0.5,0.666666666666667
"S231","2025-10-02 14:16:50",20.7540833333333,"false","Woman",19,"Heterosexual","Mixed","Less attractive","I expect to find AI-generated faces less attractive",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per month",2,3,1,4,3,3,5,5,3,6,2,1,4,4,3,3,3,0,1,2,1,3.5,3,2,1.5,1.75,2.5,2.375,-20,82,83,44,-58,-62,61,40,5,4,2,5,2,2,2,2,2,5,4,2,5,3,1,5,2,2,4,4,2,2,3.05,1,1
